clip_id,rater_id,overall_mos,echo_annoyance_mos,nearend_naturalness_mos,acceptability_binary,confidence,headphone_passed,calibration_confirmed,submitted_at,system,item_uid,utt_id,scenario_bucket,task_type
hr_af6c35d5b6aafc,returned_human_item_summary_v1,2.4,1.83,4.27,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS public checkpoint transfer,low_ser_overlap__ee1c5fdc8eed5e1d,fileid_423,low_ser_overlap,rating
hr_cc7424618969ed,returned_human_item_summary_v1,3.67,2.9,3.98,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS public checkpoint transfer,low_ser_overlap__48dd58d6d20466b4,fileid_234,low_ser_overlap,rating
hr_f55e9ac0c40bff,returned_human_item_summary_v1,3.65,3.78,3.14,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Echo,double_talk__e024e914b6b90bc5,doubletalk__f03ba73a__root__cdb9787d-c046-4ca1-9994-4161c27b0291_doubletalk,double_talk,rating
hr_5129b35dcaf1f7,returned_human_item_summary_v1,4.66,5.0,4.24,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,near_end_single_talk__d54e883161fb8921,fileid_490,near_end_single_talk,rating
hr_05905ebcbcfaec,returned_human_item_summary_v1,3.0,4.49,2.3,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS-H16k,low_ser_overlap__21fc4cc8b85fd220,fileid_462,low_ser_overlap,rating
hr_eccafeb6b8f93b,returned_human_item_summary_v1,4.38,5.0,3.69,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Echo,near_end_single_talk__9218f1e1fe829489,fileid_499,near_end_single_talk,rating
hr_1fb472681ef4e2,returned_human_item_summary_v1,2.4,4.41,1.58,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Echo,noisy_double_talk__3f7e61365b9510ba,fileid_16,noisy_double_talk,rating
hr_44bd2effd2db85,returned_human_item_summary_v1,3.49,4.02,2.5,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,low_ser_overlap__2ee61d92cda3842d,fileid_226,low_ser_overlap,rating
hr_53d6847a2ec6a5,returned_human_item_summary_v1,2.4,4.26,1.98,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS-H16k,noisy_double_talk__9afd20082238343b,fileid_126,noisy_double_talk,rating
hr_883d99ffef746d,returned_human_item_summary_v1,3.55,2.78,3.92,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,far_end_single_talk__10097318ccca3ed0,farend-singletalk__eb6d9058__root__0WY0NIP5CUq6GqB5G3ZK0w_farend-singletalk,far_end_single_talk,rating
hr_a3441b28a47954,returned_human_item_summary_v1,3.81,4.2,3.53,1.0,3.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,far_end_single_talk__a89650af17f760b6,farend-singletalk__eb6d9058__root__043c0213-3af9-4ccb-ad28-68df92069627_farend-singletalk,far_end_single_talk,rating
hr_a19222fdc50fff,returned_human_item_summary_v1,1.99,1.57,1.52,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,low_ser_overlap__e7e2eb825aced58d,fileid_159,low_ser_overlap,rating
hr_e9cd0a061663c7,returned_human_item_summary_v1,4.39,5.0,3.7,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,near_end_single_talk__9218f1e1fe829489,fileid_499,near_end_single_talk,rating
hr_9c80efce16c4c9,returned_human_item_summary_v1,3.78,4.45,2.75,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS-H16k,noisy_double_talk__3e7195c251ca3bcf,fileid_365,noisy_double_talk,rating
hr_90a651863e8300,returned_human_item_summary_v1,2.4,4.09,1.82,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,Deep Echo public checkpoint transfer,noisy_double_talk__2e03707942a55f6e,fileid_141,noisy_double_talk,rating
hr_376b436a1ff8c7,returned_human_item_summary_v1,4.42,5.0,3.69,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,near_end_single_talk__06c9cfa2d4807f54,fileid_137,near_end_single_talk,rating
hr_dfd246c024d176,returned_human_item_summary_v1,4.61,5.0,4.11,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,Deep Echo public checkpoint transfer,near_end_single_talk__d54e883161fb8921,fileid_490,near_end_single_talk,rating
hr_298f0819827c86,returned_human_item_summary_v1,4.59,5.0,4.07,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS public checkpoint transfer,near_end_single_talk__4389c5db03aa9991,fileid_32,near_end_single_talk,rating
hr_9273e3cd5f703f,returned_human_item_summary_v1,4.52,4.2,4.75,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,echo_path_motion__daba602bdbd4d165,farend-singletalk__eb6d9058__root__o1JZM00BDUqQGvIv01yOrA_farend-singletalk-with-movement,echo_path_motion,rating
hr_9b992295729101,returned_human_item_summary_v1,2.24,2.44,1.24,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,double_talk__b3846f1d2835c8c0,doubletalk__f03ba73a__root__hUcOKoqv0Uavp33Xrf2uWQ_doubletalk,double_talk,rating
hr_66154b78171982,returned_human_item_summary_v1,3.71,4.04,2.99,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,noisy_double_talk__78f2641ec051e5f2,fileid_93,noisy_double_talk,rating
