system,scenario_bucket,n_items,n_base_items,mean_overall_mos,overall_mos_ci_low,overall_mos_ci_high,mean_echo_annoyance_mos,echo_annoyance_mos_ci_low,echo_annoyance_mos_ci_high,mean_nearend_naturalness_mos,nearend_naturalness_mos_ci_low,nearend_naturalness_mos_ci_high,mean_acceptability_binary,acceptability_binary_ci_low,acceptability_binary_ci_high,mean_confidence,confidence_ci_low,confidence_ci_high
ASTWS public checkpoint transfer,double_talk,12,12,3.695,3.244979166666667,4.0916875,3.4875000000000003,2.7048958333333335,4.1941875,3.9333333333333336,3.7033125,4.1291875000000005,0.6666666666666666,0.4166666666666667,0.9166666666666666,4.0,4.0,4.0
ASTWS public checkpoint transfer,echo_path_motion,12,12,3.0716666666666668,2.8033333333333332,3.3492083333333333,2.3408333333333333,2.0257708333333335,2.6750624999999997,4.410833333333334,4.06325,4.727520833333334,0.3333333333333333,0.08333333333333333,0.5833333333333334,4.0,4.0,4.0
ASTWS public checkpoint transfer,far_end_single_talk,12,12,2.8383333333333334,2.5,3.220104166666666,2.0683333333333334,1.795,2.3533541666666666,4.998333333333333,4.995833333333334,5.0,0.16666666666666666,0.0,0.4166666666666667,4.0,4.0,4.0
ASTWS public checkpoint transfer,low_ser_overlap,12,12,3.1858333333333335,2.8791458333333333,3.4933541666666668,2.569166666666667,2.1924791666666663,2.9766874999999997,3.8441666666666667,3.5590625,4.0725,0.5,0.25,0.75,4.0,4.0,4.0
ASTWS public checkpoint transfer,near_end_single_talk,12,12,4.443333333333333,4.369166666666667,4.513354166666667,5.0,5.0,5.0,3.7633333333333336,3.5949583333333335,3.901666666666667,1.0,1.0,1.0,4.0,4.0,4.0
ASTWS public checkpoint transfer,noisy_double_talk,12,12,3.1025,2.7774791666666663,3.4217083333333336,2.5058333333333334,2.145,2.845854166666667,3.734166666666667,3.479979166666667,3.970854166666667,0.5,0.25,0.75,4.0,4.0,4.0
ASTWS-H16k,double_talk,12,12,3.783333333333333,3.3357916666666667,4.158354166666666,4.345,4.049166666666666,4.601666666666667,3.279166666666667,2.7041041666666663,3.782520833333333,0.8333333333333334,0.5833333333333334,1.0,4.0,4.0,4.0
ASTWS-H16k,echo_path_motion,12,12,3.6225,3.0833125000000003,4.1375625000000005,3.3608333333333333,2.6656874999999998,3.9609791666666663,4.150833333333333,3.584166666666667,4.5741875,0.5833333333333334,0.3333333333333333,0.8333333333333334,4.0,4.0,4.0
ASTWS-H16k,far_end_single_talk,12,12,4.05,3.5008125000000003,4.541666666666667,3.4125,2.7116458333333333,4.0650625,4.9591666666666665,4.9075,5.0,0.75,0.5,1.0,4.0,4.0,4.0
ASTWS-H16k,low_ser_overlap,12,12,3.1308333333333334,2.7933333333333334,3.4733541666666663,4.298333333333334,4.1983125,4.402520833333333,2.3525,2.017479166666667,2.738375,0.4166666666666667,0.16666666666666666,0.6666666666666666,4.0,4.0,4.0
ASTWS-H16k,near_end_single_talk,12,12,4.2225,4.124979166666667,4.315,4.9991666666666665,4.9975000000000005,5.0,3.4058333333333333,3.239916666666667,3.5725,1.0,1.0,1.0,4.0,4.0,4.0
ASTWS-H16k,noisy_double_talk,12,12,3.5975,3.1940416666666667,3.975833333333333,4.443333333333333,4.336645833333334,4.542520833333334,2.8833333333333333,2.4757708333333337,3.3350416666666662,0.6666666666666666,0.4166666666666667,0.9166666666666666,4.0,4.0,4.0
Deep Echo public checkpoint transfer,double_talk,12,12,3.4716666666666667,2.9725,3.967666666666666,3.8241666666666667,3.1533125,4.385041666666666,3.27,2.5999791666666665,3.8558541666666666,0.5,0.25,0.75,4.0,4.0,4.0
Deep Echo public checkpoint transfer,echo_path_motion,12,12,3.5775,3.1758124999999997,3.9566874999999997,3.2466666666666666,2.70325,3.7433541666666668,3.921666666666667,3.306645833333333,4.490124999999999,0.6666666666666666,0.4166666666666667,0.9166666666666666,4.0,4.0,4.0
Deep Echo public checkpoint transfer,far_end_single_talk,12,12,3.93,3.3299583333333334,4.479229166666666,3.336666666666667,2.6366458333333336,3.9558541666666667,4.973333333333334,4.93,5.0,0.6666666666666666,0.4166666666666667,0.9166666666666666,4.0,4.0,4.0
Deep Echo public checkpoint transfer,low_ser_overlap,12,12,2.8966666666666665,2.6391666666666667,3.154166666666667,3.9408333333333334,3.795,4.097541666666666,2.0991666666666666,1.8249791666666666,2.368333333333333,0.3333333333333333,0.08333333333333333,0.5833333333333334,4.0,4.0,4.0
Deep Echo public checkpoint transfer,near_end_single_talk,12,12,4.3933333333333335,4.311625,4.469187499999999,5.0,5.0,5.0,3.6775,3.501625,3.835,1.0,1.0,1.0,4.0,4.0,4.0
Deep Echo public checkpoint transfer,noisy_double_talk,12,12,3.305,2.9607708333333336,3.6441874999999997,4.035,3.884145833333333,4.170833333333333,2.5591666666666666,2.1558125,2.9858541666666665,0.5833333333333334,0.3333333333333333,0.8333333333333334,4.0,4.0,4.0
NLMS,double_talk,12,12,3.501666666666667,3.035,3.96,3.6975,3.0656875,4.243333333333333,3.1891666666666665,2.6089583333333333,3.723395833333333,0.5833333333333334,0.3333333333333333,0.8333333333333334,4.0,4.0,4.0
NLMS,echo_path_motion,12,12,3.328333333333333,2.8683125,3.822520833333333,3.1175,2.5899791666666663,3.6683333333333334,3.7583333333333333,3.183333333333333,4.355833333333333,0.4166666666666667,0.16666666666666666,0.6666666666666666,4.0,4.0,4.0
NLMS,far_end_single_talk,12,12,4.108333333333333,3.634979166666667,4.520208333333333,3.4716666666666667,2.940729166666667,3.9858541666666665,4.958333333333333,4.895833333333333,5.0,0.75,0.5,1.0,4.0,4.0,4.0
NLMS,low_ser_overlap,12,12,2.6933333333333334,2.447416666666667,2.958354166666666,3.493333333333333,3.0382916666666664,3.9133541666666662,2.0858333333333334,1.7558333333333334,2.4675833333333324,0.25,0.0,0.5,4.0,4.0,4.0
NLMS,near_end_single_talk,12,12,4.3933333333333335,4.3133333333333335,4.475,5.0,5.0,5.0,3.6775,3.515,3.835875,1.0,1.0,1.0,4.0,4.0,4.0
NLMS,noisy_double_talk,12,12,2.6708333333333334,2.4,2.9916666666666667,3.7783333333333333,3.5466249999999997,3.9816875,2.015833333333333,1.73,2.3492499999999996,0.16666666666666666,0.0,0.4166666666666667,4.0,4.0,4.0
SC-AEC-Echo,double_talk,12,12,3.6366666666666667,3.1783125,4.075020833333333,4.3116666666666665,4.003312500000001,4.587583333333333,3.0116666666666667,2.3499583333333334,3.6225208333333336,0.6666666666666666,0.4166666666666667,0.9166666666666666,3.8333333333333335,3.5833333333333335,4.0
